Organization Code,Organization Name,Audience Provider ID
183_9051,"Little Rock School District-Elementary",4
183_9055,"Little Rock School District-Secondary",4
183_1832,"Lockesburg School District",4
183_3686,"Lonoke Exceptional",4
183_1880,"Lonoke School District",4
183_1888,"Lyon College",4
183_1892,"Magazine School District",4
183_6634,"Magnet Cove Head Start",4
183_1896,"Magnet Cove School District",4
183_1900,"Magnolia School District",4
183_1904,"Malvern Christian Academy",4
183_5282,"Malvern Christian Childcare",4
183_6630,"Malvern Head Start",4
183_1908,"Malvern School District",4
183_1912,"Mammoth Spring School District",4
183_1916,"Manila School District",4
183_1920,"Mansfield School District",4
183_4958,"Maranatha Baptist-El Dorado",4
183_1924,"Maranatha Baptist-Pine Bluff",4
183_8187,"Margaret's Hair Academy-Russellville",4
183_1932,"Marion School District",4
183_1936,"Marked Tree School District",4
183_1940,"Marmaduke School District",4
183_1944,"Marshall School District",4
183_1948,"Marvell Academy",4
183_1952,"Marvell-Elaine School District",4
183_1956,"Mayflower School District",4
183_1960,"Maynard School District",4
183_1964,"McCrory School District",4
183_1968,"McGehee School District",4
183_1972,"Melbourne School District",4
183_1976,"Mena School District",4
183_7839,"MiChild Enrichment Ctr-Bryant",4
183_7835,"MiChild Enrichment Ctr-Marshall",4
183_7843,"MiChild Enrichment Ctr-Pottsville",4
183_7831,"MiChild Enrichment Ctr-Russellville",4
183_8447,"Mid America Truck Driving",4
183_2132,"Mid-South Community College",4
183_1980,"Midland School District",4
183_4466,"Millcreek of Arkansas",4
183_1984,"Mineral Springs School District",4
183_3774,"Miss Selma's",4
183_3786,"Missionary Baptist Seminary",4
183_8183,"Missions Barber College",4
183_3798,"Monroe Co. Human Development",4
183_4390,"Montessori Children's Schoolhouse",4
183_4446,"Montessori School-Jonesboro",4
183_1996,"Monticello School District",4
183_2000,"Morrilton School District",4
183_2004,"Mount Ida School District",4
183_2008,"Mount Vernon/Enola Schools",4
183_3610,"Mountain Home Adventist",4
183_3606,"Mountain Home Christian Academy",4
183_2012,"Mountain Home School District",4
183_2016,"Mountain Pine School District",4
183_2020,"Mountain View School District",4
183_2024,"Mountainburg School District",4
183_7078,"Mt. Ida Head Start",4
183_8175,"Mt. Pleasant Baptist Academy",4
183_2028,"Mulberry School District",4
183_7082,"Murfreesboro Head Start",4
183_2036,"Nashville School District",4
183_2140,"National Park Community College",4
183_2040,"Nemo Vista School District",4
183_2044,"Nettleton School District",4
183_2048,"Nevada School District",4
183_4854,"New Faith Tabernacle Academy",4
183_10107,"New Life Christian-Marion",4
183_8703,"New Tyler Barber College",4
183_2052,"Newport School District",4
